p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.669765641492343,0.956,0.039,0,All_Liver_Digestive_macrophage_query,HLA-DRB5
0,5.237920173234096,0.793,0.039,0,All_Liver_Digestive_macrophage_query,FPR3
0,4.4824223757777775,0.744,0.066,0,All_Liver_Digestive_macrophage_query,EREG
0,6.093750538212625,0.668,0.017,0,All_Liver_Digestive_macrophage_query,SDS
0,4.379644444101816,0.657,0.056,0,All_Liver_Digestive_macrophage_query,OLR1
0,4.149471899937225,0.578,0.042,0,All_Liver_Digestive_macrophage_query,OSM
0,4.48976437523662,0.562,0.041,0,All_Liver_Digestive_macrophage_query,IL10
0,4.370263867016698,0.322,0.021,0,All_Liver_Digestive_macrophage_query,AC112496.1
0,4.568536164893834,0.279,0.007,0,All_Liver_Digestive_macrophage_query,APOA2
0,4.629679405598555,0.257,0.015,0,All_Liver_Digestive_macrophage_query,CD209
0,5.739770956334773,0.956,0.037,0,All_Liver_Digestive_macrophage_noquery,HLA-DRB5
0,7.232085844599048,0.793,0.009,0,All_Liver_Digestive_macrophage_noquery,FPR3
0,5.562885723310312,0.712,0.026,0,All_Liver_Digestive_macrophage_noquery,C1QC
0,7.319897202562569,0.668,0.007,0,All_Liver_Digestive_macrophage_noquery,SDS
0,6.378562601643633,0.657,0.016,0,All_Liver_Digestive_macrophage_noquery,OLR1
0,6.487443245843162,0.357,0.006,0,All_Liver_Digestive_macrophage_noquery,LILRB5
0,5.583370368038569,0.292,0.011,0,All_Liver_Digestive_macrophage_noquery,PLA2G7
0,7.375964624038507,0.257,0.002,0,All_Liver_Digestive_macrophage_noquery,CD209
0,5.914591953912581,0.244,0.006,0,All_Liver_Digestive_macrophage_noquery,SIGLEC1
0,5.901153833744776,0.104,0.002,0,All_Liver_Digestive_macrophage_noquery,CD5L
0,5.738963520114373,0.793,0.027,0,Group_Liver_Digestive_macrophage_query,FPR3
0,5.286863303334039,0.668,0.027,0,Group_Liver_Digestive_macrophage_query,SDS
0,5.264697595996804,0.555,0.019,0,Group_Liver_Digestive_macrophage_query,CD300E
0,5.22038525168139,0.562,0.027,0,Group_Liver_Digestive_macrophage_query,IL10
0,5.258543070072095,0.357,0.011,0,Group_Liver_Digestive_macrophage_query,MTND5P32
0,5.123984472955977,0.357,0.015,0,Group_Liver_Digestive_macrophage_query,LILRB5
0,5.765243468126571,0.257,0.007,0,Group_Liver_Digestive_macrophage_query,CD209
0,5.197455747365135,0.244,0.007,0,Group_Liver_Digestive_macrophage_query,ADGRE1
0,7.759263161429055,0.104,0.001,0,Group_Liver_Digestive_macrophage_query,CD5L
0,5.345204062983752,0.1,0.004,0,Group_Liver_Digestive_macrophage_query,OTOAP1
0,5.9833096940946575,0.793,0.022,0,Group_Liver_Digestive_macrophage_noquery,FPR3
0,5.348134509334104,0.668,0.026,0,Group_Liver_Digestive_macrophage_noquery,SDS
0,5.960884868959132,0.657,0.023,0,Group_Liver_Digestive_macrophage_noquery,OLR1
0,5.475085839178577,0.562,0.023,0,Group_Liver_Digestive_macrophage_noquery,IL10
0,5.39293742032401,0.357,0.01,0,Group_Liver_Digestive_macrophage_noquery,MTND5P32
0,5.3874040884591885,0.357,0.012,0,Group_Liver_Digestive_macrophage_noquery,LILRB5
0,5.785237901950004,0.292,0.008,0,Group_Liver_Digestive_macrophage_noquery,PLA2G7
0,5.907138856586978,0.257,0.006,0,Group_Liver_Digestive_macrophage_noquery,CD209
0,7.740184550142053,0.104,0.001,0,Group_Liver_Digestive_macrophage_noquery,CD5L
0,5.71111373197037,0.1,0.003,0,Group_Liver_Digestive_macrophage_noquery,OTOAP1
0,4.177955597688813,0.793,0.059,0,Organ_Liver_Digestive_macrophage_query,FPR3
4.024956903096902e-292,4.104582736137014,0.46,0.038,2.3694921288531465e-287,Organ_Liver_Digestive_macrophage_query,GPNMB
8.358553474109924e-185,5.236483335628547,0.257,0.008,4.920680430208512e-180,Organ_Liver_Digestive_macrophage_query,CD209
8.09077748521167e-179,4.210668733027807,0.288,0.02,4.76304070554411e-174,Organ_Liver_Digestive_macrophage_query,PLAU
7.089454718232763e-136,4.036624838484235,0.217,0.013,4.1735619926236274e-131,Organ_Liver_Digestive_macrophage_query,TREM2
3.07790162075973e-109,4.6425644164629105,0.168,0.008,1.811960684141253e-104,Organ_Liver_Digestive_macrophage_query,CLEC5A
1.5449960025024098e-101,3.941667160445949,0.172,0.013,9.095391466731686e-97,Organ_Liver_Digestive_macrophage_query,RAB7B
5.035625576764037e-77,4.118550155471026,0.125,0.008,2.9644727770409885e-72,Organ_Liver_Digestive_macrophage_query,LINC01094
1.0145701784240104e-69,3.9051466069946486,0.122,0.01,5.972774640382149e-65,Organ_Liver_Digestive_macrophage_query,MMP9
1.100247236615731e-64,4.42276814492506,0.1,0.005,6.477155481956809e-60,Organ_Liver_Digestive_macrophage_query,OTOAP1
0,4.177955597688813,0.793,0.059,0,Organ_Liver_Digestive_macrophage_noquery,FPR3
4.024956903096902e-292,4.104582736137014,0.46,0.038,2.3694921288531465e-287,Organ_Liver_Digestive_macrophage_noquery,GPNMB
8.358553474109924e-185,5.236483335628547,0.257,0.008,4.920680430208512e-180,Organ_Liver_Digestive_macrophage_noquery,CD209
8.09077748521167e-179,4.210668733027807,0.288,0.02,4.76304070554411e-174,Organ_Liver_Digestive_macrophage_noquery,PLAU
7.089454718232763e-136,4.036624838484235,0.217,0.013,4.1735619926236274e-131,Organ_Liver_Digestive_macrophage_noquery,TREM2
3.07790162075973e-109,4.6425644164629105,0.168,0.008,1.811960684141253e-104,Organ_Liver_Digestive_macrophage_noquery,CLEC5A
1.5449960025024098e-101,3.941667160445949,0.172,0.013,9.095391466731686e-97,Organ_Liver_Digestive_macrophage_noquery,RAB7B
5.035625576764037e-77,4.118550155471026,0.125,0.008,2.9644727770409885e-72,Organ_Liver_Digestive_macrophage_noquery,LINC01094
1.0145701784240104e-69,3.9051466069946486,0.122,0.01,5.972774640382149e-65,Organ_Liver_Digestive_macrophage_noquery,MMP9
1.100247236615731e-64,4.42276814492506,0.1,0.005,6.477155481956809e-60,Organ_Liver_Digestive_macrophage_noquery,OTOAP1
